id;name;regular_price;promo_price;brand;city
2046025;Кофейный напиток MacCoffee Cappuccino di Torino с шоколадной крошкой 20шт х 25,5г;442.00;;MacCoffee;Санкт-Петербург
2678952;Кофе Черная Карта в зёрнах, 1000 г;1389.00;;Черная;Санкт-Петербург
1836315;"Кофе в зернах BUSHIDO ""Sensei"", полимерная упаковка, 227 г";599.00;;BUSHIDO;Санкт-Петербург
2612224;Kофе рaстворимый Московская кофейня на Паяхъ Мокко, 230 г;769.00;;Московская;Санкт-Петербург
5760054;Кофе натуральный растворимый сублимированный MONARCH ORIGINAL 160г;599.00;;MONARCH;Санкт-Петербург
2641214;Кофе молотый Piazza del Caffe Gusto Forte, 250 г;411.00;;Piazza;Санкт-Петербург
1973884;"Кофе молотый BUSHIDO ""Sensei"", полимерная упаковка, 227 г";678.00;;BUSHIDO;Санкт-Петербург
2694840;Кофе растворимый MONARCH BRAZILIAN SELECTION, натуральный, сублимированный, 180г;669.00;;MONARCH;Санкт-Петербург
2597855;Кофе в зернах MacCoffee PURE Arabica Crema, 1 кг;1799.00;;MacCoffee;Санкт-Петербург
1853455;"Кофе Coffesso ""Classico Italianо"", молотый в дрип-пакетах, 5 штук";195.00;;Coffesso;Санкт-Петербург
2391133;Кофе в зернах Московская кофейня на паяхъ, Арабика, 250г;579.00;;Московская;Санкт-Петербург
1836410;"Кофе в зернах EGOISTE ""Truffle"", полимерная упаковка, 250 г";630.00;;EGOISTE;Санкт-Петербург
2287661;Кофе зерновой EGOISTE Velvet, полимерная упаковка, 200 г;549.00;;EGOISTE;Санкт-Петербург
1049639;Кофе растворимый Nescafe Gold, сублимированный с добавлением молотого, дой-пак, 75 г;265.00;;Nescafe;Санкт-Петербург
1974017;"Кофейный напиток Torabika ""Creamy Latte"", с мягким сливочным вкусом, 20 штук по 30 г";338.00;;Torabika;Санкт-Петербург
1049560;Кофе растворимый NESCAFE Classic, с добавлением натурального жареного молотого кофе, 190 г;476.00;;NESCAFE;Санкт-Петербург
1252101;Кофе сублимированный EGOISTE Special, стеклянная банка, 100 г;899.00;;EGOISTE;Санкт-Петербург
5989856;Кофе растворимый FRESCO Arabica blend, сублимированный, 100 г;375.00;;FRESCO;Санкт-Петербург
1836313;"Кофе растворимый BUSHIDO ""Black Katana"", стеклянная банка, 100 г";999.00;;BUSHIDO;Санкт-Петербург
2694853;Кофе растворимый MONARCH MILIGRANO, молотый в растворимом, 90 г;400.00;;MONARCH;Санкт-Петербург
1953133;Кофе в зернах Poetti Arabica, натуральный, жареный, 1 кг;1667.00;;Poetti;Санкт-Петербург
2694831;Кофе растворимый MONARCH MILIGRANO, молотый в растворимом, 120 г;500.00;;MONARCH;Санкт-Петербург
1973795;Кофе в зернах EGOISTE Noir, полимерная упаковка, 250 г;659.00;;EGOISTE;Санкт-Петербург
2098598;"Кофе растворимый Nescafe Classic ""Crema"", порошкообразный, 95 г";315.00;;Nescafe;Санкт-Петербург
2873030;"Кофе молотый ЖОКЕЙ ""Имбирный десерт"", 150 г";303.00;;ЖОКЕЙ;Санкт-Петербург
2694846;Кофе в капсулах Monarch Espresso 10 Intenso, для системы Nespresso, 10 штук;268.00;;Monarch;Санкт-Петербург
5847146;Кофе молотый CARTE NOIRE PREMIER CRU PERU, натуральный жареный, 200 г;557.00;;CARTE;Санкт-Петербург
2694842;Кофе растворимый MONARCH HAZELNUT, натуральный, сублимированный, 95 г;478.00;;MONARCH;Санкт-Петербург
5938961;Кофе молотый Monarch Brazilian Selection, натуральный, жареный, 230 г;435.00;;Monarch;Санкт-Петербург
2597863;Кофе растворимый MacCoffee Gold, сублимированный, 150г;409.00;;MacCoffee;Санкт-Петербург
2641201;Кофе молотый Jardin Colombia Supremo, 250 г;450.00;;Jardin;Санкт-Петербург
5938881;Кофе растворимый CARTE NOIRE VOYAGE AU JAPAN сублимированный , 90г;569.00;;CARTE;Санкт-Петербург
1973990;Кофейный напиток Torabika Cappucino с пакетиком шоколадной крошки упаковка, 20 порций;463.00;;Torabika;Санкт-Петербург
5938946;Кофе растворимый Monarch сублимированный  с ароматом шоколадного трюфеля 95 г;471.00;;Monarch;Санкт-Петербург
5938955;Кофе молотый в дрип-пакетах MONARCH MIX: АРАБИКА ПЕРУ, БРАЗИЛИЯ, КОЛУМБИЯ, 6 штук по 11 г;283.00;;MONARCH;Санкт-Петербург
2391184;Кофе молотый Monarch Original, 230г;408.00;;Monarch;Санкт-Петербург
2694837;Кофе растворимый MONARCH GOLD, натуральный, сублимированный, 95 г;399.00;;MONARCH;Санкт-Петербург
1973796;Кофе в зернах EGOISTE Espresso, полимерная упаковка, 250 г;699.00;;EGOISTE;Санкт-Петербург
2137986;Кофе зерновой Jardin Espresso di Milano, 1 кг;1514.00;;Jardin;Санкт-Петербург
2138003;"Кофе растворимый Jardin ""Colombia Medellin"", сублимированный, 95 г";364.00;;Jardin;Санкт-Петербург
1944204;Кофе в капсулах LOR Espresso Ristretto, натуральный, жареный, 10 капсул по 52 г;299.00;;LOR;Санкт-Петербург
1944200;Кофе в капсулах LOR Espresso Delizioso, натуральный, жареный, 10 капсул по 52 г;289.00;;LOR;Санкт-Петербург
2641255;Кофе молотый ЖОКЕЙ Классический, 250г;357.00;;ЖОКЕЙ;Санкт-Петербург
2803349;Кофе растворимый Нескафе Голд Крема, 170 г;599.00;;Нескафе;Санкт-Петербург
2287671;Кофе в зернах EGOISTE Voyage, полимерная упаковка, 1000г;2071.00;;EGOISTE;Санкт-Петербург
1017206;Кофе растворимый Nescafe Classic порошкообразный, дой-пак, 130 г;332.00;;Nescafe;Санкт-Петербург
2612216;Kофе рaстворимый Московская кофейня на Паяхъ Суаре, 230 г;817.00;;Московская;Санкт-Петербург
2287579;Кофе сублимированный BUSHIDO Original, полимерная упаковка, 75г;773.00;;BUSHIDO;Санкт-Петербург
2287669;Кофе в зернах EGOISTE Captain, полимерная упаковка, 1 кг;2236.00;;EGOISTE;Санкт-Петербург
2140206;"Кофе растворимый Жокей ""Фаворит"", гранулированный, 150 г";375.00;;Жокей;Санкт-Петербург
2890651;Напиток кофейный растворимый MONARCH CLASSIC 3 в 1, 24 штуки х 13,5 г;389.00;;Напиток;Санкт-Петербург
2845181;Kофе молотый Московская кофейня на Паяхъ ESPRESSO, 250 г;501.00;;Московская;Санкт-Петербург
2137980;Кофе растворимый ЖАРДИН Колумбия Меделлин субл., м/уп., 150 г;554.00;;ЖАРДИН;Санкт-Петербург
2824261;Кофе в зернах MILAGRO Intense Taste, 800 г;1016.00;;MILAGRO;Санкт-Петербург
